user_id,email,date,habit_name,goal_score,time_commitment_score,best_time_score,recent_progress_mean,recent_progress_std,streak_strength,miss_rate_14d,mood_proxy,energy_proxy,had_urges,checkin_completed,nudge_count_today,recovery_events_today,recovery_relapse_today,recovery_urge_today,weekday_norm,weekend_effect,target_completed_next_day,seq_day_1,seq_day_2,seq_day_3,seq_day_4,seq_day_5,seq_day_6,seq_day_7,seq_day_8,seq_day_9,seq_day_10,seq_day_11,seq_day_12,seq_day_13,seq_day_14
3,persona_disciplined_student@example.com,2026-01-23,25-min deep work,0.2,0.15,0.2,0.6278571428571429,0.28506085995371416,0.03333333333333333,0.6428571428571428,0.55,0.2,0.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,0.66,0.74,0.9,0.74,0.73,0.81,0.18,0.73,0.8,0.14,0.9,0.33,0.15,0.98
3,persona_disciplined_student@example.com,2026-01-24,25-min deep work,0.2,0.15,0.2,0.6428571428571429,0.2918029807795608,0.06666666666666667,0.5714285714285714,0.55,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,1.0,0.74,0.9,0.74,0.73,0.81,0.18,0.73,0.8,0.14,0.9,0.33,0.15,0.98,0.87
3,persona_disciplined_student@example.com,2026-01-25,25-min deep work,0.2,0.15,0.2,0.6471428571428571,0.2936331183011639,0.1,0.5,0.3,0.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9,0.74,0.73,0.81,0.18,0.73,0.8,0.14,0.9,0.33,0.15,0.98,0.87,0.8
3,persona_disciplined_student@example.com,2026-01-26,25-min deep work,0.2,0.15,0.2,0.6471428571428571,0.2936331183011639,0.13333333333333333,0.5,0.3,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.73,0.81,0.18,0.73,0.8,0.14,0.9,0.33,0.15,0.98,0.87,0.8,0.9
3,persona_disciplined_student@example.com,2026-01-27,25-min deep work,0.2,0.15,0.2,0.6464285714285715,0.2934184516268567,0.0,0.5,0.55,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.73,0.81,0.18,0.73,0.8,0.14,0.9,0.33,0.15,0.98,0.87,0.8,0.9,0.73
3,persona_disciplined_student@example.com,2026-01-28,25-min deep work,0.2,0.15,0.2,0.6657142857142857,0.3068437081389967,0.03333333333333333,0.4285714285714286,0.55,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.81,0.18,0.73,0.8,0.14,0.9,0.33,0.15,0.98,0.87,0.8,0.9,0.73,1.0
3,persona_disciplined_student@example.com,2026-01-29,25-min deep work,0.2,0.15,0.2,0.6664285714285715,0.3071901956875099,0.06666666666666667,0.4285714285714286,0.3,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.18,0.73,0.8,0.14,0.9,0.33,0.15,0.98,0.87,0.8,0.9,0.73,1.0,0.82
3,persona_disciplined_student@example.com,2026-01-30,25-min deep work,0.2,0.15,0.2,0.7171428571428572,0.28011295097892647,0.1,0.3571428571428571,0.55,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,0.73,0.8,0.14,0.9,0.33,0.15,0.98,0.87,0.8,0.9,0.73,1.0,0.82,0.89
3,persona_disciplined_student@example.com,2026-01-31,25-min deep work,0.2,0.15,0.2,0.725,0.28190043835165834,0.13333333333333333,0.2857142857142857,0.3,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,1.0,0.8,0.14,0.9,0.33,0.15,0.98,0.87,0.8,0.9,0.73,1.0,0.82,0.89,0.84
3,persona_disciplined_student@example.com,2026-02-01,25-min deep work,0.2,0.15,0.2,0.725,0.28190043835165834,0.16666666666666666,0.2857142857142857,0.55,0.6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.14,0.9,0.33,0.15,0.98,0.87,0.8,0.9,0.73,1.0,0.82,0.89,0.84,0.8
